instancia,algoritmo,menor_custo
Bur26a,ACO,5601783
Bur26a,ES_SA,5655669
Bur26a,ES_VND,5655669
Chr12a,ACO,18942
Chr12a,ES_SA,9552
Chr12a,ES_VND,9552
Els19,ACO,24771386
Els19,ES_SA,17212548
Els19,ES_VND,17212548
Esc16a,ACO,76
Esc16a,ES_SA,68
Esc16a,ES_VND,68
Esc32a,ACO,306
Esc32a,ES_SA,336
Esc32a,ES_VND,336
Had12,ACO,1758
Had12,ES_SA,1652
Had12,ES_VND,1652
Kra30a,ACO,119090
Kra30a,ES_SA,122270
Kra30a,ES_VND,122270
Lipa20a,ACO,3869
Lipa20a,ES_SA,3683
Lipa20a,ES_VND,3683
Tai256c,ACO,50008224
Tai256c,ES_SA,51213226
Tai256c,ES_VND,51213226
Wil50,ACO,55108
Wil50,ES_SA,54362
Wil50,ES_VND,54362
